"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"126",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","210","210","1CCH","Combatant Commanders Core Operations","Y","Y","U",2014,"Total",127777,NA,NA,NA,NA
"127",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","220","220","1CCM","Combatant Commanders Direct Mission Support","Y","Y","U",2014,"Total",188235,NA,NA,NA,NA
"128",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","230","230","1D1D","Cruise Missile","Y","Y","U",2014,"Total",82387,NA,NA,NA,NA
"129",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","240","240","1D2D","Fleet Ballistic Missile","Y","Y","U",2014,"Total",1178864,NA,NA,NA,NA
"130",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","250","250","1D3D","In-Service Weapons Systems Support","Y","Y","U",2014,"Total",227385,NA,NA,NA,NA
"131",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","260","260","1D4D","Weapons Maintenance","Y","Y","U",2014,"Total",747998,NA,NA,NA,NA
"132",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","270","270","1D7D","Other Weapon Systems Support","Y","Y","U",2014,"Total",291283,NA,NA,NA,NA
"133",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","280","280","BSIT","Enterprise Information","Y","Y","U",2014,"Total",954428,NA,NA,NA,NA
"134",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","290","290","BSM1","Sustainment, Restoration and Modernization","Y","Y","U",2014,"Total",2090344,NA,NA,NA,NA
"135",2016,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","300","300","BSS1","Base Operating Support","Y","Y","U",2014,"Total",4628749,NA,NA,NA,NA
"136",2016,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","310","310","2A1F","Ship Prepositioning and Surge","Y","Y","U",2014,"Total",328282,NA,NA,NA,NA
"137",2016,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","320","320","2B1G","Aircraft Activations/Inactivations","Y","Y","U",2014,"Total",6658,NA,NA,NA,NA
