"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","IncludeInTOA","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal"
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",138,"0604258A","Target Systems Development","Y","U",2015,"Total",,,,,,9778
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",139,"0604759A","Major T&E Investment","Y","U",2015,"Total",,,,,,54281
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",140,"0605103A","Rand Arroyo Center","Y","U",2015,"Total",,,,,,19817
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",141,"0605301A","Army Kwajalein Atoll","Y","U",2015,"Total",,,,,,169699
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",142,"0605326A","Concepts Experimentation Program","Y","U",2015,"Total",,,,,,18757
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",143,"0605502A","Small Business Innovative Research","Y","U",2015,"Total",,,,,,172658
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",144,"0605601A","Army Test Ranges and Facilities","Y","U",2015,"Total",,,,,,271377
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",145,"0605602A","Army Technical Test Instrumentation and Targets","Y","U",2015,"Total",,,,,,43961
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",146,"0605604A","Survivability/Lethality Analysis","Y","U",2015,"Total",,,,,,33210
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",147,"0605606A","Aircraft Certification","Y","U",2015,"Total",,,,,,4667
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","06","RDT&E Management Support",148,"0605702A","Meteorological Support to RDT&E Activities","Y","U",2015,"Total",,,,,,6289
