"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
5363,"0604402N","Unmanned Combat Air Vehicle (UCAV) Advanced Component and Prototype Development",7,"Operational Systems Development",1319,,2002,0,0,0,,,,,
5364,"0207256F","Unmanned Combat Air Vehicle Joint Program Office",5,,3600,,2002,0,0,0,,,,,
5365,"1160428BB","Unmanned Vehicles (UV)",7,"Operational Systems Development",400,,2002,0,0,0,,,,,
5366,"0207601F","USAF Modeling and Simulation",7,"Operational Systems Development",3600,,2002,25345,30361,26889,,,,,
5367,"0605110D8Z","USD(A&T)--Critical Technology Support",6,"Management Support",400,,2002,0,0,0,,,,,
5368,"0305200D8Z","USD(I) Intelligence Programs",7,,400,,2002,0,0,0,,,,,
5369,"0206625M","USMC Intelligence/Electronic Warfare Systems (MIP)",7,"Operational Systems Development",1319,,2002,0,0,0,,,,,
5370,"0604262N","V-22A",5,"System Development & Demonstration",1319,,2002,546735,442787,415819,,,,,
5371,"0604237F","Variable Stability In-Flight Simulator Test Aircraft",4,,3600,,2002,0,0,0,,,,,
5372,"0604273N","Executive Helo Development",5,"System Development & Demonstration",1319,,2002,0,0,0,,,,,
5373,"0208031F","War Reserve Materiel - Equipment/Secondary Items",7,,3600,,2002,0,0,0,,,,,
5374,"0604230N","Warfare Support System",5,"System Development & Demonstration",1319,,2002,0,0,0,,,,,
5375,"0603001A","Warfighter Advanced Technology",3,"Advanced Technology Development",2040,,2002,60332,62089,59815,,,,,
5376,"0603782A","Warfighter Information Network-Tactical - DEM/VAL",4,"Advanced Component Development & Prototypes",2040,,2002,15075,12464,12140,,,,,
5377,"0603729N","Warfighter Protection Advanced Technology",3,"Advanced Technology Development",1319,,2002,17678,28425,23822,,,,,
5378,"0203761F","Warfighter Rapid Acquisition Process (WRAP) Rapid Transition Fund",7,"Operational Systems Development",3600,,2002,30247,28740,28882,,,,,
5379,"0603236N","Warfighter Sustainment Advanced Technology",3,"Advanced Technology Development",1319,,2002,57685,72798,72907,,,,,
5380,"0602236N","Warfighter Sustainment Applied Research",2,"Applied Research",1319,,2002,71294,107842,107343,,,,,
5381,"0602786A","Warfighter Technology",2,"Applied Research",2040,,2002,27061,33474,31650,,,,,
5382,"0305400D8Z","Warfighting and Intelligence-Related Support",6,"Management Support",400,,2002,0,0,0,,,,,
5383,"0207605F","Wargaming and Simulation Centers",7,"Operational Systems Development",3600,,2002,5033,7961,7582,,,,,
5384,"0603802A","Weapons and Munitions - Adv Dev",4,,2040,,2002,31670,34197,33567,,,,,
5385,"0604802A","Weapons and Munitions - Eng Dev",5,"System Development & Demonstration",2040,,2002,7046,17146,16546,,,,,
5386,"0603004A","Weapons and Munitions Advanced Technology",3,"Advanced Technology Development",2040,,2002,29684,35381,34244,,,,,
5387,"0602624A","Weapons and Munitions Technology",2,"Applied Research",2040,,2002,35549,65197,62914,,,,,
5388,"0603820A","Weapons Capability Modifications UAV",7,"Operational Systems Development",2040,,2002,0,0,0,,,,,
5389,"0605000BR","Weapons of Mass Destruction Defeat Capabilities",5,"System Development And Demonstration",400,,2002,0,0,0,,,,,
5390,"0602718BR","Weapons of Mass Destruction Defeat Technologies",2,"Applied Research",400,,2002,0,0,0,,,,,
5391,"0305111F","Weather Service",7,"Operational Systems Development",3600,,2002,11452,11202,10558,,,,,
5392,"0603707F","Weather Systems Technology",3,,3600,,2002,0,0,0,,,,,
5393,"0603854F","Wideband Global SATCOM RDT&E (Space)",4,"Advanced Component Development & Prototypes",3600,,2002,96670,99033,96398,,,,,
5394,"0633007D8Z","Wind Lift Power Generator",3,"Advanced Technology Development (ATD)",401,,2002,0,0,0,,,,,
5395,"0602716BR","WMD Defeat Technology",2,,400,,2002,0,0,0,,,,,
5396,"0807708D8Z","Wounded Ill and Injured Senior Oversight Committee (WII-SOC) Staff Office",5,"System Development and Demonstration (SDD)",400,,2002,0,0,0,,,,,
5397,"0303150N","WWMCCS/Global Command and Control System",7,,1319,,2002,0,0,0,,,,,
5398,"0303150A","WWMCCS/Global Command and Control System",7,"Operational Systems Development",2040,,2002,13501,13385,13131,,,,,
5399,"9999999999","Classified Programs",4,,2040,"Classified (Unnamed)",2002,0,0,0,,,,,
5400,"9999999999","Classified Programs",5,,2040,"Classified (Unnamed)",2002,0,0,0,,,,,
5401,"9999999999","Classified Programs",6,,2040,"Classified (Unnamed)",2002,0,0,0,,,,,
5402,"9999999999","Classified Programs",7,"Operational Systems Development",2040,"Classified (Unnamed)",2002,0,0,0,,,,,
5403,"9999999999","Classified Programs",5,,1319,"Classified (Unnamed)",2002,5484,8409,8367,,,,,
5404,"9999999999","Classified Programs",7,"Operational Systems Development",1319,"Classified (Unnamed)",2002,879863,953742,948995,,,,,
5405,"9999999999","Classified Programs",1,,3600,"Classified (Unnamed)",2002,0,0,0,,,,,
5406,"9999999999","Classified Programs",7,"Operational Systems Development",3600,"Classified (Unnamed)",2002,4424521,4357472,4308629,,,,,
5407,"9999999999","Classified Programs",3,,400,"Classified (Unnamed)",2002,0,0,0,,,,,
5408,"9999999999","Classified Programs",6,"Management Support",400,"Classified (Unnamed)",2002,0,0,0,,,,,
5409,"9999999999","Classified Programs",7,"Operational System Development",400,"Classified (Unnamed)",2002,1829938,1841407,1886751,,,,,
4050,"0207131F","A-10 Squadrons",5,,3600,,2003,0,0,0,,,,,
4051,"0207131F","A-10 Squadrons",7,"Operational Systems Development",3600,,2003,7650,7503,10960,,,,,
