"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
5449,"0603668D8Z","Cyber Security Advanced Research",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5450,"0603901C","Directed Energy Research",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5451,"0604880C","Land-Based SM-3 (LBSM3)",4,"Advanced Component Development And Prototypes",400,,2012,"OCO",,0,,0,,,,,
5452,"0604881C","AEGIS SM-3 Block IIA Co-Development",4,"Advanced Component Development And Prototypes",400,,2012,"OCO",,0,,0,,,,,
5453,"0604883C","Precision Tracking Space System",4,"Advanced Component Development And Prototypes",400,,2012,"OCO",,0,,0,,,,,
5454,"0604884C","Airborne Infrared (ABIR)",4,"Advanced Component Development & Prototypes",400,,2012,"OCO",,0,,0,,,,,
5455,"0605142D8Z","Systems Engineering",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5464,"0603130A","TRACTOR NAIL",3,"Advanced Technology Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5465,"0603131A","TRACTOR EGGS",3,"Advanced Technology Development",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5466,"0603461A","High Performance Computing Modernization Program",3,"Advanced Technology Development",2040,,2012,"OCO",,0,,0,,,,,
5467,"0604115A","Technology Maturation Initiatives",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5468,"0604131A","TRACTOR JUTE",4,"Advanced Component Development & Prototypes",2040,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5469,"0604284A","Joint Cooperative Target Identification - Ground (JCTI-G) / Technology Dev",4,"Advanced Component Development & Prototypes",2040,,2012,"OCO",,0,,0,,,,,
5470,"0603251N","Aircraft Systems",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5471,"0604279N","ASE Self-Protection Optimization",4,"Advanced Component Development & Prototypes",1319,,2012,"OCO",,0,,0,,,,,
5472,"0604404N","Unmanned Carrier Launched Airborne Surveillance and Strike (UCLASS) System",5,"System Development & Demonstration",1319,,2012,"OCO",,0,,0,,,,,
5473,"0605126N","Joint Theater Air and Missile Defense Organization",6,"Management Support",1319,,2012,"OCO",,0,,0,,,,,
5475,"0604717M","Marine Corps Combat Services Support",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5476,"0604766M","Marine Corps Data Systems",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5477,"0204228N","Surface Support",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5478,"0303150M","WWMCCS/Global Command and Control System",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5479,"0305237N","Medium Range Maritime UAS",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5480,"0305239M","RQ-21A",7,"Operational Systems Development",1319,,2012,"OCO",,0,,0,,,,,
5482,"0604317F","Technology Transfer",4,"Advanced Component Development & Prototypes",3600,,2012,"OCO",,0,,0,,,,,
5483,"0101125F","Nuclear Weapons Modernization",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5484,"0207100F","Light Attack Armed Reconnaissance (LAAR) Squadrons",5,"System Development & Demonstration",3600,,2012,"OCO",,0,,0,,,,,
5485,"0207444F","Tactical Air Control Party-Mod",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5486,"0401139F","Light Mobility Aircraft (LiMA)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5487,"0801711F","Recruiting Activities",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5488,"0901226F","Air Force Studies and Analysis Agency",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5489,"0901279F","Facilities Operation - Administrative",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5490,"0902998F","Management HQ - ADP Support (AF)",7,"Operational Systems Development",3600,,2012,"OCO",,0,,0,,,,,
5494,"0601110D8Z","Basic Research Initiatives",1,"Basic Research",400,,2012,"OCO",,0,,0,,,,,
5495,"0601117E","Basic Operational Medical Research Science",1,"Basic Research",400,,2012,"OCO",,0,,0,,,,,
5496,"0602115E","Biomedical Technology",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5497,"0602250D8Z","Systems 2020 Applied Research",2,"Applied Research",400,,2012,"OCO",,0,,0,,,,,
5499,"0603274C","Special Program - MDA Technology",3,"Advanced Technology Development",400,"Classified (Unnamed)",2012,"OCO",,0,,0,,,,,
5500,"0603699D8Z","Emerging Capabilities Technology Development",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5501,"0603902C","Next Generation Aegis Missile",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5502,"0604055D8Z","Operational Energy Capability Improvement",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5503,"0303310D8Z","CWMD Systems",3,"Advanced Technology Development",400,,2012,"OCO",,0,,0,,,,,
5504,"0603600D8Z","WALKOFF",4,"Advanced Component Development And Prototypes",400,"Classified (Named)",2012,"OCO",,0,,0,,,,,
5505,"0605022D8Z","Defense Exportability Program",5,"System Development And Demonstration",400,,2012,"OCO",,0,,0,,,,,
5506,"0605070S","DOD Enterprise Systems Development and Demonstration",5,"System Development And Demonstration",400,,2012,"OCO",,0,,0,,,,,
5507,"0605075D8Z","DCMO Policy and Integration",5,"System Development And Demonstration",400,,2012,"OCO",,0,,0,,,,,
5508,"0605210D8Z","Defense-Wide Electronic Procurement Capabilities",5,"System Development And Demonstration",400,,2012,"OCO",,0,,0,,,,,
5509,"0203345D8Z","Defense Operations Security Initiative (DOSI)",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5510,"0909999D8Z","Financing for Cancelled Account Adjustments",6,"Management Support",400,,2012,"OCO",,0,,0,,,,,
5511,"1105232BB","RQ-11 UAV",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5512,"1105233BB","RQ-7 UAV",7,"Operational System Development",400,,2012,"OCO",,2450,,2450,,,,,
5513,"1160481BB","SOF Munitions",7,"Operational System Development",400,,2012,"OCO",,0,,0,,,,,
5517,"0901517X","Inspector General, DoD, Audit, Intelligence and Non-Criminal Investigative Activ",2,"RDT&E",107,,2012,"OCO",,0,,0,,,,,
5518,"0601101HP","In-House Laboratory Independent Research",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5519,"0601117HP","Basic Operational Medical Research Science",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5520,"0602115HP","Applied Biomedical Technology",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5521,"0602787HP","Medical Technology",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5522,"0603002HP","Medical Advanced Technology",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5523,"0603115HP","Medical Technology Development",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5524,"0604110HP","Medical Products Support and Advanced Concept Development",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5525,"0605013HP","Information Technology Development",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5526,"0605145HP","Medical Products and Support Systems Development",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5527,"0605502HP","Small Business Innovative Research",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5528,"0606105HP","Medical Program-Wide Activities",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5529,"0607100HP","Medical Products and Capabilities Enhancement Activities",2,"RDT&E",130,,2012,"OCO",,0,,0,,,,,
5531,"0708081D","Chemical Materials Agency",2,"Research, Development, Test, And Evaluation",390,,2012,"OCO",,0,,0,,,,,
5532,"0708083D","Assembled Chemical Weapons Alternatives",2,"Research, Development, Test, And Evaluation",390,,2012,"OCO",,0,,0,,,,,
5534,"0408042N","National Defense Sealift Fund",4,"Research and Development",4557,,2012,"OCO",,0,,0,,,,,
5811,"0604319A","Indirect Fire Protection Capability Increment 2-Intercept (IFPC2)",4,"Advanced Component Development & Prototypes",2040,"U",2012,"OCO",,,,0,,,,,
5812,"0604775A","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",2040,"U",2012,"OCO",,,,0,,,,,
5813,"0604785A","Integrated Base Defense (Budget Activity 4)",4,"Advanced Component Development & Prototypes",2040,"U",2012,"OCO",,,,0,,,,,
5814,"0604290A","Mid-tier Networking Vehicular Radio (MNVR)",5,"System Development & Demonstration",2040,"U",2012,"OCO",,,,0,,,,,
5815,"0604798A","Brigade Analysis, Integration and Evaluation",5,"System Development & Demonstration",2040,"U",2012,"OCO",,,,0,,,,,
5816,"0605812A","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph",5,"System Development & Demonstration",2040,"U",2012,"OCO",,,,0,,,,,
5817,"0607665A","Family of Biometrics",7,"Operational Systems Development",2040,"U",2012,"OCO",,,,0,,,,,
5818,"0607865A","Patriot Product Improvement",7,"Operational Systems Development",2040,"U",2012,"OCO",,,,0,,,,,
5819,"0305235A","Vertical UAS",7,"Operational Systems Development",2040,"U",2012,"OCO",,,,0,,,,,
5820,"0602750N","Future Naval Capabilities Applied Research",2,"Applied Research",1319,"U",2012,"OCO",,,,0,,,,,
5821,"0603673N","Future Naval Capabilities Advanced Technology Development",3,"Advanced Technology Development",1319,"U",2012,"OCO",,,,0,,,,,
5822,"0603128N","Unmanned Aerial System",4,"Advanced Component Development & Prototypes",1319,"U",2012,"OCO",,,,0,,,,,
5823,"0604775N","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",1319,"U",2012,"OCO",,,,0,,,,,
5824,"0604786N","Offensive Anti-Surface Warfare Weapon Development",4,"Advanced Component Development & Prototypes",1319,"U",2012,"OCO",,,,0,,,,,
5825,"0605812M","Joint Light Tactical Vehicle (JLTV) Engineering and Manufacturing Development Ph",4,"Advanced Component Development & Prototypes",1319,"U",2012,"OCO",,,,0,,,,,
5826,"0604376M","Marine Air Ground Task Force (MAGTF) Electronic Warfare (EW) for Aviation",5,"System Development & Demonstration",1319,"U",2012,"OCO",,,,0,,,,,
5827,"0305124N","Special Applications Program",5,"System Development & Demonstration",1319,"Classified (Unnamed)",2012,"OCO",,,,0,,,,,
5828,"0204460M","Ground/Air Task Oriented Radar (G/ATOR)",7,"Operational Systems Development",1319,"U",2012,"OCO",,,,0,,,,,
5829,"0604422F","Weather System Follow-on",4,"Advanced Component Development & Prototypes",3600,"U",2012,"OCO",,,,0,,,,,
5830,"0604775F","Defense Rapid Innovation Program",4,"Advanced Component Development & Prototypes",3600,"U",2012,"OCO",,,,0,,,,,
5831,"0305164F","NAVSTAR Global Positioning System (User Equipment) (SPACE)",4,"Advanced Component Development & Prototypes",3600,"U",2012,"OCO",,,,0,,,,,
5832,"0604932F","Long Range Standoff Weapon",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5833,"0604933F","ICBM Fuze Modernization",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5834,"0605213F","F-22 Modernization Increment 3.2B",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5835,"0605931F","B-2 Defensive Management System",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5836,"0207604F","Readiness Training Ranges, Operations and Maintenance",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5837,"0305230F","MC-12",5,"System Development & Demonstration",3600,"U",2012,"OCO",,,,0,,,,,
5838,"0606392F","Space and Missile Center (SMC) Civilian Workforce",6,"Management Support",3600,"U",2012,"OCO",,,,0,,,,,
5839,"0207452F","DCAPES",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5840,"0305145F","Arms Control Implementation",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5841,"0305236F","Common Data Link Executive Agent (CDL EA)",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5842,"0305238F","NATO AGS",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5843,"0305240F","Support to DCGS Enterprise",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5844,"0305881F","Rapid Cyber Acquisition",7,"Operational Systems Development",3600,"U",2012,"OCO",,,,0,,,,,
5845,"0603828J","Joint Experimentation",3,"Advanced Technology Development",400,"U",2012,"OCO",,,,0,,,,,
5846,"0603914C","Ballistic Missile Defense Test",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5847,"0603915C","Ballistic Missile Defense Targets",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5848,"0604775D8Z","Defense Rapid Innovation Program",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5849,"0604787J","Joint Systems Integration",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5850,"0604828J","Joint FIRES Integration and Interoperability Team",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5851,"0604886C","Advanced Remote Sensor Technology (ARST)",4,"Advanced Component Development And Prototypes",400,"U",2012,"OCO",,,,0,,,,,
5852,"0305304D8Z","DoD Enterprise Energy Information Management (EEIM)",5,"System Development And Demonstration",400,"U",2012,"OCO",,,,0,,,,,
5853,"0605151D8Z","Studies and Analysis Support - OSD",6,"Management Support",400,"U",2012,"OCO",,,,0,,,,,
5854,"0605502D8W","Small Business Innovative Research",6,"RDT&E Management Support",400,"U",2012,"OCO",,,,0,,,,,
5855,"0303166J","Support to Information Operations (IO) Capabilities",6,"Management Support",400,"U",2012,"OCO",,,,0,,,,,
5856,"0607828J","Joint Integration and Interoperability",7,"Operational System Development",400,"U",2012,"OCO",,,,0,,,,,
5857,"0305231BB","MQ-8 UAV",7,"Operational System Development",400,"U",2012,"OCO",,,,0,,,,,
4100,"0307207A","Aerial Common Sensor (ACS)",7,"Operational Systems Development",2040,,2012,"Total",0,,,,,,,,
4119,"0603327A","Air and Missile Defense Systems Engineering",4,"Advanced Component Development & Prototypes",2040,,2012,"Total",0,,,,,,,,
4159,"0604443F","Third Generation Infrared Surveillance (3GIRS)",5,"System Development & Demonstration",3600,,2012,"Total",0,,,,,,,,
4208,"0603883C","Ballistic Missile Defense Boost Defense Segment",4,"Advanced Component Development & Prototypes",400,,2012,"Total",0,,,,,,,,
4211,"0603897C","Ballistic Missile Defense Hercules",4,"Advanced Component Development & Prototypes",400,,2012,"Total",0,,,,,,,,
4236,"0603911C","BMD European Capability",4,"Advanced Component Development & Prototypes",400,,2012,"Total",0,,,,,,,,
4247,"0605430N","C/KC-130 Avionics Modernization Program (AMP)",5,"System Development & Demonstration",1319,,2012,"Total",0,,,,,,,,
4266,"0204201N","CG(X)",5,"System Development & Demonstration",1319,,2012,"Total",0,,,,,,,,
4374,"0605277F","CSAR-X RDT&E",5,"System Development & Demonstration",3600,,2012,"Total",0,,,,,,,,
4388,"0605648D8Z","Defense Acquisition Executive (DAE) Pilot Program",5,"System Development and Demonstration (SDD)",400,,2012,"Total",0,,,,,,,,
4436,"0303148K","DISA Mission Support Operations",7,"Operational Systems Development",400,,2012,"Total",0,,,,,,,,
4493,"0307217N","EP-3E Replacement (EPX)",7,"Operational Systems Development",1319,,2012,"Total",0,,,,,,,,
4516,"0702976F","Facilities Restoration & Modernization - Logistics",7,"Operational Systems Development",3600,,2012,"Total",0,,,,,,,,
4522,"0604660A","FCS Manned Grd Vehicles & Common Grd Vehicle",5,"System Development & Demonstration",2040,,2012,"Total",0,,,,,,,,
4582,"0603423F","Global Positioning System III - Operational Control Segment",4,"Advanced Component Development & Prototypes",3600,,2012,"Total",0,,,,,,,,
4585,"0601111D8Z","Government/Industry Cosponsorship of University Research",1,"Basic Research",400,,2012,"Total",0,,,,,,,,
4590,"0603768E","Guidance Technology",3,"Advanced Technology Development (ATD)",400,,2012,"Total",0,,,,,,,,
4710,"0604648D8Z","Joint Capability Technology Demonstrations",4,"Advanced Component Development & Prototypes",400,,2012,"Total",0,,,,,,,,
4713,"0303158F","Joint Command and Control Program (JC2)",7,"Operational Systems Development",3600,,2012,"Total",0,,,,,,,,
4722,"0604618F","Joint Direct Attack Munition",5,"System Development & Demonstration",3600,,2012,"Total",0,,,,,,,,
4742,"1160423BB","Joint Multi-Mission Submersible",7,"Operational Systems Development",400,,2012,"Total",0,,,,,,,,
4759,"0605452F","Joint SIAP Executive Program Office",5,"System Development & Demonstration",3600,,2012,"Total",0,,,,,,,,
4772,"0102325F","Atmospheric Early Warning System",7,"Operational Systems Development",3600,,2012,"Total",4485,,,,,,,,
4875,"0602234N","Materials, Electronics and Computer Technology",2,"Applied Research",1319,,2012,"Total",0,,,,,,,,
4949,"0305924F","National Security Space Office",7,"Operational Systems Development",3600,,2012,"Total",0,,,,,,,,
4997,"0604646A","Non-Line of Sight Launch System",5,"System Development & Demonstration",2040,,2012,"Total",0,,,,,,,,
5020,"1160426BB","Operations Advanced Seal Delivery System (ASDS) Development",7,"Operational Systems Development",400,,2012,"Total",0,,,,,,,,
5056,"0604778A","Positioning Systems Development (SPACE)",5,"System Development & Demonstration",2040,,2012,"Total",0,,,,,,,,
5133,"0207451F","Single Integrated Air Picture (SIAP)",5,"System Development & Demonstration",3600,,2012,"Total",0,,,,,,,,
5134,"0603879N","Single Integrated Air Picture (SIAP) System Engineer (SE)",4,"Advanced Component Development & Prototypes",1319,,2012,"Total",0,,,,,,,,
5146,"0605502BP","Small Business Innovative Research - Chemical Biological Def",6,"Management Support",400,,2012,"Total",0,,,,,,,,
5158,"1160407BB","SOF Medical Technology Development",2,"Applied Research",400,,2012,"Total",0,,,,,,,,
5270,"0603745D8Z","Synthetic Aperture Radar (SAR) Coherent Change Detection (CDD)",3,"Advanced Technology Development (ATD)",400,,2012,"Total",0,,,,,,,,
5339,"0804772F","Training Developments",7,"Operational Systems Development",3600,,2012,"Total",0,,,,,,,,
5354,"0603024A","Unique Item Identification (UID)",4,"Advanced Component Development & Prototypes",2040,,2012,"Total",0,,,,,,,,
5365,"1160428BB","Unmanned Vehicles (UV)",7,"Operational Systems Development",400,,2012,"Total",0,,,,,,,,
5388,"0603820A","Weapons Capability Modifications UAV",7,"Operational Systems Development",2040,,2012,"Total",24142,,,,,,,,
