"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","MainAccountCode","TreasuryAgencyCode","IncludeInTOA"
4686,"0305193G","Intelligence Support to Information Operations (IO)",7,,400,,2001,"Total",0,,0,,,0,,,
4687,"0305193L","Intelligence Support to Information Operations (IO)",7,,400,,2001,"Total",0,,0,,,0,,,
4688,"0305193F","Intelligence Support to Information Operations (IO) (JMIP)",6,,3600,,2001,"Total",0,,0,,,0,,,
4689,"0305887F","Intelligence Support to Information Warfare",7,"Operational Systems Development",3600,,2001,"Total",0,,0,,,0,,,
4690,"0603851F","Intercontinental Ballistic Missile - Dem/Val",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",39246,,50975,,,48216,,,
4691,"0604851F","Intercontinental Ballistic Missile - EMD",5,"System Development & Demonstration",3600,,2001,"Total",18325,,18157,,,14203,,,
4692,"0604435F","Interim Polar",5,,3600,,2001,"Total",0,,0,,,0,,,
4693,"1001004F","International Activities",6,"Management Support",3600,,2001,"Total",3773,,3739,,,3574,,,
4694,"0603875C","International Cooperative Programs",4,,400,,2001,"Total",116992,,129699,,,125805,,,
4695,"0305600D8Z","International Intelligence Technology and Architectures",7,"Operational System Development",400,,2001,"Total",0,,0,,,0,,,
4696,"0603791F","International Space Cooperative R&D",4,"Advanced Component Development & Prototypes",3600,,2001,"Total",0,,0,,,0,,,
4697,"0208043J","Planning and Decision Aid System (PDAS)",7,"Operational System Development",400,"Classified (Named)",2001,"Total",0,,0,,,0,,,
4698,"0603913C","Israeli Cooperative Programs",4,"Advanced Component Development And Prototypes",400,,2001,"Total",0,,0,,,0,,,
4699,"0901598D8W","Management Headquarters WHS",6,"Management Support",400,,2001,"Total",0,,0,,,0,,,
4700,"0604611A","JAVELIN",5,"System Development & Demonstration",2040,,2001,"Total",490,,485,,,471,,,
4701,"0603200D8Z","Joint Advanced Concepts",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4702,"0604450N","Joint Air-to-Ground Missile (JAGM)",4,,1319,,2001,"Total",0,,0,,,0,,,
4703,"0605450A","Joint Air-to-Ground Missile (JAGM)",5,"System Development & Demonstration",2040,,2001,"Total",0,,0,,,0,,,
4704,"0605450N","Joint Air-to-Ground Missile (JAGM)",5,"System Development & Demonstration",1319,,2001,"Total",0,,0,,,0,,,
4705,"0603460A","Joint Air-to-Ground Missile (JAGM)",4,,2040,,2001,"Total",0,,0,,,0,,,
4706,"0207325F","Joint Air-to-Surface Standoff Missile (JASSM)",7,"Operational Systems Development",3600,,2001,"Total",120281,,115214,,,110611,,,
4707,"0208052J","Joint Analytical Model Improvement Program",7,,400,,2001,"Total",11941,,11834,,,11834,,,
4708,"0305188N","Joint C4ISR Battle Center (JBC)",7,,1319,,2001,"Total",7795,,9705,,,9458,,,
4709,"0603648D8Z","Joint Capability Technology Demonstrations",3,"Advanced Technology Development",400,,2001,"Total",0,,0,,,0,,,
4710,"0604648D8Z","Joint Capability Technology Demonstrations",4,"Advanced Component Development & Prototypes",400,,2001,"Total",0,,0,,,0,,,
4711,"0401138F","C-27J Airlift Squadrons",5,"System Development & Demonstration",3600,,2001,"Total",0,,0,,,0,,,
4712,"0303158A","Joint Command and Control Program (JC2)",7,"Operational Systems Development",2040,,2001,"Total",0,,0,,,0,,,
