"","Referenced.IDV.PIID","PIID","Modification.Number","Transaction.Number","freq"
"18255","GS30FR0005","GSRPNNCL1969","0",0,1
"18256","GS30FR0006","GSRPNNCL1979","0",0,1
"18257","GS30FR0006","GSRPNNCL1999","0",0,1
"18258","GS30FR0006","GSRPNNCL2009","0",0,1
"18259","GS30FR0006","GSRPNNCL2019","0",0,1
"18260","GS30FR0006","GSRPNNCL2029","0",0,1
"18261","GS30FR0006","GSRPNNCL2039","0",0,1
"18262","GS30FR0006","GSRPNNCL2049","0",0,1
"18263","GS30FR0005","GSRPNNCL2099","0",0,1
"18264","GS30FR0005","GSRPNNCL2119","0",0,1
"18265","GS30FR0006","GSRPNNCL2129","0",0,1
"18266","GS30FR0006","GSRPNNCL2189","0",0,1
"18267","GS30FR0006","GSRPNNCL2209","0",0,1
"18268","GS30FR0006","GSRPNNCL2299","0",0,1
"18269","GS30FR0006","GSRPNNCL2319","0",0,1
"18270","GS30FR0006","GSRPNNCL2329","0",0,1
"18271","GS30FR0006","GSRPNNCL2339","0",0,1
"18272","GS30FR0006","GSRPNNCL2419","0",0,1
"18273","GS30FR0006","GSRPNNCL2429","0",0,1
"18274","GS30FR0006","GSRPNNCL2439","0",0,1
"18275","GS30FR0006","GSRPNNCL2449","0",0,1
"18276","GS30FR0006","GSRPNNCL2469","0",0,1
"18277","GS30FR0006","GSRPNNCL2509","0",0,1
"18278","GS30FR0006","GSRPNNCL2539","0",0,1
"18279","GS30FR0006","GSRPNNCL2559","0",0,1
"18280","GS30FR0006","GSRPNNCL2599","0",0,1
"18281","GS30FR0006","GSRPNNCL2649","0",0,1
"18282","GS30FR0005","GSRPNNCL2669","0",0,1
"18283","GS30FR0006","GSRPNNCL2719","0",0,1
"18284","GS30FR0006","GSRPNNCL2759","0",0,1
"18285","GS30FR0006","GSRPNNCL2799","0",0,1
"18286","GS30FR0006","GSRPNNCL2849","0",0,1
"18287","GS30FR0006","GSRPNNCL2859","0",0,1
"18288","GS30FR0006","GSRPNNCL2869","0",0,1
"18289","GS30FR0005","GSRPNNCL2879","0",0,1
"18290","GS30FR0006","GSRPNNCL2899","0",0,1
"18291","GS30FR0006","GSRPNNCL2919","0",0,1
"18292","GS30FR0006","GSRPNNCL2929","0",0,1
"18293","GS30FR0006","GSRPNNCL3019","0",0,1
"18294","GS30FR0006","GSRPNNCL3039","0",0,1
"18295","GS30FR0006","GSRPNNCL3069","0",0,1
"18296","GS30FR0006","GSRPNNCL3139","0",0,1
"18297","GS30FR0006","GSRPNNCL3219","0",0,1
"18298","GS30FR0006","GSRPNNCL3279","0",0,1
"18299","GS30FR0005","GSRPNNCL3309","0",0,1
"18300","GS30FR0006","GSRPNNCL3359","0",0,1
"18301","GS30FR0006","GSRPNNCL3389","0",0,1
"18302","GS30FR0006","GSRPNNCL3429","0",0,1
"18303","GS30FR0006","GSRPNNCL3459","0",0,1
"18304","GS30FR0006","GSRPNNCL3469","0",0,1
"18305","GS30FR0006","GSRPNNCL3489","0",0,1
"18306","GS30FR0006","GSRPNNCL3499","0",0,1
"18307","GS30FR0006","GSRPNNCL3519","0",0,1
"18308","GS30FR0006","GSRPNNCL3539","0",0,1
"18309","GS30FR0006","GSRPNNCL3569","0",0,1
"18310","GS30FR0006","GSRPNNCL3579","0",0,1
"18311","GS30FR0006","GSRPNNCL3659","0",0,1
"18312","GS30FR0006","GSRPNNCL3669","0",0,1
"18313","GS30FR0005","GSRPNNCL3709","0",0,1
"18314","GS30FR0005","GSRPNNCL3719","0",0,1
"18315","GS30FR0006","GSRPNNCL3729","0",0,1
"18316","GS30FR0005","GSRPNNCL3759","0",0,1
"18317","GS30FR0005","GSRPNNCL3809","0",0,1
"18318","GS30FR0005","GSRPNNCL3819","0",0,1
"18319","GS30FR0005","GSRPNNCL3919","0",0,1
"18320","GS30FR0005","GSRPNNCL4039","0",0,1
"18321","GS30FR0005","GSRPNNCL4049","0",0,1
"18322","GS30FR0005","GSRPNNCL4089","0",0,1
"18323","GS30FR0005","GSRPNNCL4129","0",0,1
"18324","GS30FR0005","GSRPNNCL4139","0",0,1
"18325","GS30FR0005","GSRPNNCL4149","0",0,1
"18326","GS30FR0005","GSRPNNCL4179","0",0,1
"18327","GS30FR0005","GSRPNNCL4269","0",0,1
"18328","GS30FR0005","GSRPNNCL4299","0",0,1
"18329","GS30FR0005","GSRPNNCL4309","0",0,1
"18330","GS30FR0005","GSRPNNCL4319","0",0,1
"18331","GS30FR0005","GSRPNNCL4369","0",0,1
"18332","GS30FR0005","GSRPNNCL4429","0",0,1
"18333","GS30FR0005","GSRPNNCL4429","9163",0,1
"18334","GS30FR0005","GSRPNNCL4449","0",0,1
"18335","GS30FR0005","GSRPNNCL4479","0",0,1
"18336","GS30FR0005","GSRPNNCL4489","0",0,1
"18337","GS30FR0005","GSRPNNCL4509","0",0,1
"18338","GS30FR0005","GSRPNNCL4529","0",0,1
"18339","GS30FR0006","GSRPNNCL4549","0",0,1
"18340","GS30FR0006","GSRPNNCL4579","0",0,1
"18341","GS30FR0006","GSRPNNCL4609","0",0,1
"18342","GS30FR0006","GSRPNNCL4619","0",0,1
"18343","GS30FR0006","GSRPNNCL4629","0",0,1
"18344","GS30FR0006","GSRPNNCL4669","0",0,1
"18345","GS30FR0006","GSRPNNCL4719","0",0,1
"18346","GS30FR0006","GSRPNNCL4739","0",0,1
"18347","GS30FR0006","GSRPNNCL4759","0",0,1
"18348","GS30FR0006","GSRPNNCL4769","0",0,1
"18349","GS30FR0006","GSRPNNCL4839","0",0,1
"18350","GS30FR0005","GSRPNNCL4909","0",0,1
"18351","GS30FR0006","GSRPNNCL4949","0",0,1
"18352","GS30FR0006","GSRPNNCL4979","0",0,1
"18353","GS30FR0006","GSRPNNCL4999","0",0,1
"18354","GS30FR0006","GSRPNNCL5029","0",0,1
"18355","GS30FR0006","GSRPNNCL5049","0",0,1
"18356","GS30FR0005","GSRPNNCL5079","0",0,1
"18357","GS30FR0005","GSRPNNCL5089","0",0,1
"18358","GS30FR0005","GSRPNNCL5099","9163",0,1
"18359","GS30FR0005","GSRPNNCL5099","0",0,1
"18360","GS30FR0005","GSRPNNCL5109","0",0,1
"18361","GS30FR0005","GSRPNNCL5139","0",0,1
"18362","GS30FR0005","GSRPNNCL5179","0",0,1
"18363","GS30FR0005","GSRPNNCL5179","9163",0,1
"18364","GS30FR0005","GSRPNNCL5189","0",0,1
"18365","GS30FR0006","GSRPNNCL5209","0",0,1
"18366","GS30FR0005","GSRPNNCL5239","0",0,1
"18367","GS30FR0005","GSRPNNCL5279","0",0,1
"18368","GS30FR0005","GSRPNNCL5299","0",0,1
"18369","GS30FR0005","GSRPNNCL5319","0",0,1
"18370","GS30FR0005","GSRPNNCL5349","0",0,1
"18371","GS30FR0006","GSRPNNCW2949","0",0,1
"18372","GS30FR0005","GSRPNNCW2969","0",0,1
"18373","GS30FR0005","GSRPNNCW3019","0",0,1
"18374","GS30FR0005","GSRPNNCW3059","0",0,1
"18375","GS30FR0005","GSRPNNCW3069","0",0,1
"18376","GS30FR0005","GSRPNNCW3079","0",0,1
"18377","GS30FR0006","GSRPNNCW3089","0",0,1
"18378","GS30FR0005","GSRPNNCW3099","0",0,1
"18379","GS30FR0006","GSRPNNCW3109","0",0,1
"18380","GS30FR0006","GSRPNNCW3119","0",0,1
"18381","GS30FR0006","GSRPNNCW3159","0",0,1
"18382","GS30FR0006","GSRPNNCW3179","0",0,1
"18383","GS30FR0006","GSRPNNCW3289","0",0,1
"18384","GS30FR0006","GSRPNNCW3329","0",0,1
"18385","GS30FR0005","GSRPNNCW3369","0",0,1
"18386","GS30FR0006","GSRPNNCW3379","0",0,1
"18387","GS30FR0006","GSRPNNCW3399","0",0,1
