SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2002,ARMY,ATACMS-BAT,1991,DE," 3,867.70 "," 5,287.70 "," 32,799.00 "," (1,707.00)"," (2,857.50)"," (31,337.00)"," 2,160.70 "," 2,430.20 "," 1,462.00 ", 29.10 , 65.40 
12/1/2002,ARMY,ATIRCM/CMWS,1996,DE," 2,628.40 "," 3,361.60 "," 3,094.00 ", 366.50 , 541.90 , (390.00)," 2,994.90 "," 3,903.50 "," 2,704.00 ", 50.20 , 63.60 
12/1/2002,ARMY,BLACK HAWK UPGRADE,2001,DE," 10,663.00 "," 14,662.00 "," 1,221.00 ", 614.00 , (324.20), - ," 11,277.00 "," 14,337.80 "," 1,221.00 ", 5.80 , (2.20)
12/1/2002,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 , (945.20)," (1,077.00)", (331.00)," 2,779.00 "," 2,782.80 ", 595.00 , (1.20), (2.00)
12/1/2002,ARMY,CH-47F,1997,DE," 2,523.60 "," 3,115.40 ", 302.00 ," 3,193.00 "," 4,061.30 ", 37.00 ," 5,716.60 "," 7,176.70 ", 339.00 , 107.40 , 108.60 
12/1/2002,ARMY,COMANCHE,2000,DE," 37,936.10 "," 48,134.30 "," 1,213.00 "," (5,032.60)"," (9,810.60)", (563.00)," 32,903.50 "," 38,323.70 ", 650.00 , 13.10 , 8.20 
12/1/2002,ARMY,FBCB2,2000,DE," 2,281.00 "," 2,617.90 "," 59,522.00 ", 53.70 , 15.00 ," (3,057.00)"," 2,334.70 "," 2,632.90 "," 56,465.00 ", 5.30 , 4.00 
12/1/2002,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 3,541.80 ", 348.80 ," (2,303.00)"," 15,136.00 "," 19,270.10 "," 83,185.00 ", 31.70 , 5.20 
12/1/2002,ARMY,GMLRS,1996,DE," 1,395.70 "," 1,688.60 "," 43,182.00 "," 7,784.80 "," 10,143.30 "," 96,822.00 "," 9,180.50 "," 11,831.90 "," 140,004.00 ", 109.60 , 102.40 
12/1/2002,ARMY,JAVELIN,1997,PdE," 3,791.10 "," 3,926.00 "," 28,501.00 ", 177.60 , 80.30 ," (5,075.00)"," 3,968.70 "," 4,006.30 "," 23,426.00 ", 6.90 , 5.80 
12/1/2002,ARMY,JTRS CLUSTER 1,2002,DE," 14,437.20 "," 19,112.90 "," 108,388.00 ", (81.60), (110.80), 26.00 ," 14,355.60 "," 19,002.10 "," 108,414.00 ", (0.60), (0.60)
12/1/2002,ARMY,LONGBOW APACHE,1996,PdE," 7,389.70 "," 8,729.20 ", 985.00 ," 1,222.20 ", 375.70 , (257.00)," 8,611.90 "," 9,104.90 ", 728.00 , 45.90 , 32.90 
